"file","file_name","file_accession","TF_clean","cell_line","assay","output_type","file_format"
"./ENCFF843PZW.bed.gz","ENCFF843PZW.bed.gz","ENCFF843PZW","ATF1","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF844LUC.bed.gz","ENCFF844LUC.bed.gz","ENCFF844LUC","JUND","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF844NZW.bed.gz","ENCFF844NZW.bed.gz","ENCFF844NZW","ATF1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF844UXU.bed.gz","ENCFF844UXU.bed.gz","ENCFF844UXU","ELK1","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF845KIA.bed.gz","ENCFF845KIA.bed.gz","ENCFF845KIA","PBX1","A549","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF845NWV.bed.gz","ENCFF845NWV.bed.gz","ENCFF845NWV","DDIT3","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF846TVV.bed.gz","ENCFF846TVV.bed.gz","ENCFF846TVV","BACH1","K562","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF847AGG.bed.gz","ENCFF847AGG.bed.gz","ENCFF847AGG","CREB1","HepG2","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF847YQG.bed.gz","ENCFF847YQG.bed.gz","ENCFF847YQG","CREM","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF848GBZ.bed.gz","ENCFF848GBZ.bed.gz","ENCFF848GBZ","JUND","HCT116","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF848WYC.bed.gz","ENCFF848WYC.bed.gz","ENCFF848WYC","SP1","MCF-7","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF849VCJ.bed.gz","ENCFF849VCJ.bed.gz","ENCFF849VCJ","JUND","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF852AAQ.bed.gz","ENCFF852AAQ.bed.gz","ENCFF852AAQ","CREB1","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF852CYZ.bed.gz","ENCFF852CYZ.bed.gz","ENCFF852CYZ","CREB1","Ishikawa","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF852HEY.bed.gz","ENCFF852HEY.bed.gz","ENCFF852HEY","SP1","MCF-7","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF852HVU.bed.gz","ENCFF852HVU.bed.gz","ENCFF852HVU","CLOCK","MCF-7","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF853PDJ.bed.gz","ENCFF853PDJ.bed.gz","ENCFF853PDJ","CREB3L1","K562","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF855DWX.bed.gz","ENCFF855DWX.bed.gz","ENCFF855DWX","CEBPB","HepG2","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF855INH.bed.gz","ENCFF855INH.bed.gz","ENCFF855INH","KLF6","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF855UMP.bed.gz","ENCFF855UMP.bed.gz","ENCFF855UMP","CEBPB","A549","TF ChIP-seq","conservative IDR thresholded peaks","bed narrowPeak"
"./ENCFF856HFW.bed.gz","ENCFF856HFW.bed.gz","ENCFF856HFW","CREM","HepG2","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF856LKK.bed.gz","ENCFF856LKK.bed.gz","ENCFF856LKK","ELK1","MCF-7","TF ChIP-seq","peaks and background as input for IDR","bed narrowPeak"
"./ENCFF856WER.bed.gz","ENCFF856WER.bed.gz","ENCFF856WER","MECOM","K562","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF857FTE.bed.gz","ENCFF857FTE.bed.gz","ENCFF857FTE","ELK1","MCF-7","TF ChIP-seq","IDR ranked peaks","bed idr_ranked_peak"
"./ENCFF857LGS.bed.gz","ENCFF857LGS.bed.gz","ENCFF857LGS","FOSL2","MCF-7","TF ChIP-seq","IDR thresholded peaks","bed narrowPeak"
