"file_name","file_accession","TF","cell_line","gene_name","n_overlapping_peaks"
"ENCFF063XMG.bed.gz","ENCFF063XMG","BACH1","K562","RAET1E",1
"ENCFF063XMG.bed.gz","ENCFF063XMG","BACH1","K562","ULBP1",2
"ENCFF063XMG.bed.gz","ENCFF063XMG","BACH1","K562","ULBP2",3
"ENCFF063XMG.bed.gz","ENCFF063XMG","BACH1","K562","ULBP3",2
"ENCFF064QGH.bed.gz","ENCFF064QGH","JUN","A549","MICA",1
"ENCFF064WDQ.bed.gz","ENCFF064WDQ","CEBPB","A549","RAET1E",1
"ENCFF064WDQ.bed.gz","ENCFF064WDQ","CEBPB","A549","ULBP1",1
"ENCFF065CJT.bed.gz","ENCFF065CJT","NFE2L1","K562","RAET1E",2
"ENCFF065CJT.bed.gz","ENCFF065CJT","NFE2L1","K562","RAET1G",2
"ENCFF065CJT.bed.gz","ENCFF065CJT","NFE2L1","K562","RAET1L",1
"ENCFF065CJT.bed.gz","ENCFF065CJT","NFE2L1","K562","ULBP1",1
"ENCFF065CJT.bed.gz","ENCFF065CJT","NFE2L1","K562","ULBP2",1
"ENCFF065KFR.bed.gz","ENCFF065KFR","MAFK","HepG2",NA,0
"ENCFF066CDB.bed.gz","ENCFF066CDB","FOSL2","A549","RAET1L",1
"ENCFF066CIG.bed.gz","ENCFF066CIG","MAFK","MCF-7",NA,0
"ENCFF066IIM.bed.gz","ENCFF066IIM","PBX1","A549","ULBP1",1
"ENCFF066IIM.bed.gz","ENCFF066IIM","PBX1","A549","ULBP3",1
"ENCFF067KEJ.bed.gz","ENCFF067KEJ","CEBPB","A549","MICB",1
"ENCFF067KEJ.bed.gz","ENCFF067KEJ","CEBPB","A549","RAET1E",1
"ENCFF067KEJ.bed.gz","ENCFF067KEJ","CEBPB","A549","ULBP1",2
"ENCFF067MKL.bed.gz","ENCFF067MKL","JUNB","A549",NA,0
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","MICB",2
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","RAET1E",1
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","RAET1G",1
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","RAET1L",1
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","ULBP2",1
"ENCFF067XYR.bed.gz","ENCFF067XYR","MAFK","HepG2","ULBP3",2
"ENCFF068UNL.bed.gz","ENCFF068UNL","TBP","HepG2","MICA",2
"ENCFF068UNL.bed.gz","ENCFF068UNL","TBP","HepG2","MICB",2
"ENCFF068UNL.bed.gz","ENCFF068UNL","TBP","HepG2","RAET1G",1
"ENCFF068UNL.bed.gz","ENCFF068UNL","TBP","HepG2","ULBP3",1
"ENCFF070EHR.bed.gz","ENCFF070EHR","ATF3","K562","ULBP1",1
"ENCFF070OJG.bed.gz","ENCFF070OJG","KLF4","MCF-7","MICB",2
"ENCFF070OJG.bed.gz","ENCFF070OJG","KLF4","MCF-7","RAET1G",1
"ENCFF070OJG.bed.gz","ENCFF070OJG","KLF4","MCF-7","ULBP3",3
"ENCFF070TER.bed.gz","ENCFF070TER","BACH1","K562","MICA",4
"ENCFF070TER.bed.gz","ENCFF070TER","BACH1","K562","RAET1E",2
"ENCFF070TER.bed.gz","ENCFF070TER","BACH1","K562","ULBP1",2
"ENCFF072BMK.bed.gz","ENCFF072BMK","MAFK","K562","MICB",2
"ENCFF072BMK.bed.gz","ENCFF072BMK","MAFK","K562","RAET1E",3
"ENCFF072BMK.bed.gz","ENCFF072BMK","MAFK","K562","RAET1L",2
"ENCFF072BMK.bed.gz","ENCFF072BMK","MAFK","K562","ULBP2",3
"ENCFF072BMK.bed.gz","ENCFF072BMK","MAFK","K562","ULBP3",3
"ENCFF072CQZ.bed.gz","ENCFF072CQZ","NFE2","HepG2",NA,0
"ENCFF072OXR.bed.gz","ENCFF072OXR","JUNB","K562",NA,0
"ENCFF073ACH.bed.gz","ENCFF073ACH","CEBPB","HepG2","MICB",1
"ENCFF073ACH.bed.gz","ENCFF073ACH","CEBPB","HepG2","RAET1E",1
"ENCFF073ACH.bed.gz","ENCFF073ACH","CEBPB","HepG2","ULBP1",1
"ENCFF073ACH.bed.gz","ENCFF073ACH","CEBPB","HepG2","ULBP3",4
"ENCFF074MLM.bed.gz","ENCFF074MLM","DDIT3","HepG2","MICA",2
"ENCFF074MLM.bed.gz","ENCFF074MLM","DDIT3","HepG2","MICB",1
"ENCFF075JEN.bed.gz","ENCFF075JEN","FOSL2","A549","MICA",1
"ENCFF075JEN.bed.gz","ENCFF075JEN","FOSL2","A549","RAET1E",1
"ENCFF075JEN.bed.gz","ENCFF075JEN","FOSL2","A549","RAET1L",1
"ENCFF075JEN.bed.gz","ENCFF075JEN","FOSL2","A549","ULBP2",1
"ENCFF075JEN.bed.gz","ENCFF075JEN","FOSL2","A549","ULBP3",1
"ENCFF076YZO.bed.gz","ENCFF076YZO","ETS1","K562","ULBP3",3
"ENCFF076ZKJ.bed.gz","ENCFF076ZKJ","JUND","HepG2","MICA",3
"ENCFF076ZKJ.bed.gz","ENCFF076ZKJ","JUND","HepG2","MICB",1
"ENCFF076ZKJ.bed.gz","ENCFF076ZKJ","JUND","HepG2","RAET1G",1
"ENCFF076ZKJ.bed.gz","ENCFF076ZKJ","JUND","HepG2","RAET1L",1
"ENCFF076ZKJ.bed.gz","ENCFF076ZKJ","JUND","HepG2","ULBP2",1
"ENCFF077ATS.bed.gz","ENCFF077ATS","CEBPB","A549","MICA",1
"ENCFF077ATS.bed.gz","ENCFF077ATS","CEBPB","A549","RAET1E",1
"ENCFF077ATS.bed.gz","ENCFF077ATS","CEBPB","A549","ULBP1",1
"ENCFF077HXE.bed.gz","ENCFF077HXE","ATF1","K562","MICA",1
"ENCFF077HXE.bed.gz","ENCFF077HXE","ATF1","K562","MICB",3
"ENCFF077HXE.bed.gz","ENCFF077HXE","ATF1","K562","RAET1L",2
"ENCFF077HXE.bed.gz","ENCFF077HXE","ATF1","K562","ULBP1",1
"ENCFF077HXE.bed.gz","ENCFF077HXE","ATF1","K562","ULBP3",4
"ENCFF077PGA.bed.gz","ENCFF077PGA","SP1","HepG2",NA,0
"ENCFF077UUI.bed.gz","ENCFF077UUI","JUN","MCF-7","MICB",2
"ENCFF077UUI.bed.gz","ENCFF077UUI","JUN","MCF-7","RAET1E",1
"ENCFF077UUI.bed.gz","ENCFF077UUI","JUN","MCF-7","ULBP3",1
"ENCFF078LOY.bed.gz","ENCFF078LOY","ATF7","HepG2","RAET1G",1
"ENCFF078LOY.bed.gz","ENCFF078LOY","ATF7","HepG2","ULBP1",1
"ENCFF078MQH.bed.gz","ENCFF078MQH","GATA3","SK-N-SH","MICA",3
"ENCFF078MQH.bed.gz","ENCFF078MQH","GATA3","SK-N-SH","RAET1E",2
"ENCFF078MQH.bed.gz","ENCFF078MQH","GATA3","SK-N-SH","RAET1G",1
"ENCFF078MQH.bed.gz","ENCFF078MQH","GATA3","SK-N-SH","RAET1L",1
"ENCFF079BRO.bed.gz","ENCFF079BRO","ELK1","HepG2",NA,0
"ENCFF079UOJ.bed.gz","ENCFF079UOJ","JUN","HepG2",NA,0
"ENCFF079ZRO.bed.gz","ENCFF079ZRO","PBX3","A549",NA,0
"ENCFF080RVQ.bed.gz","ENCFF080RVQ","JUND","HCT116","MICA",1
"ENCFF080RVQ.bed.gz","ENCFF080RVQ","JUND","HCT116","RAET1E",2
"ENCFF080RVQ.bed.gz","ENCFF080RVQ","JUND","HCT116","RAET1L",2
"ENCFF080TQH.bed.gz","ENCFF080TQH","CEBPB","HCT116","MICB",1
"ENCFF080TQH.bed.gz","ENCFF080TQH","CEBPB","HCT116","RAET1E",1
"ENCFF081YPW.bed.gz","ENCFF081YPW","JUND","T47D",NA,0
"ENCFF083MVL.bed.gz","ENCFF083MVL","GTF2B","K562",NA,0
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","MICA",2
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","MICB",4
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","RAET1G",1
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","RAET1L",1
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","ULBP1",1
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","ULBP2",1
"ENCFF083XOF.bed.gz","ENCFF083XOF","RUNX1","K562","ULBP3",4
"ENCFF084AFZ.bed.gz","ENCFF084AFZ","CREB1","HepG2","MICA",4
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","MICA",5
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","MICB",2
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","RAET1E",2
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","RAET1G",3
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","ULBP1",4
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","ULBP2",1
"ENCFF084CVA.bed.gz","ENCFF084CVA","FOSL2","HepG2","ULBP3",4
"ENCFF084FOM.bed.gz","ENCFF084FOM","STAT6","K562",NA,0
"ENCFF084IPM.bed.gz","ENCFF084IPM","FOS","K562","RAET1G",1
"ENCFF085GOJ.bed.gz","ENCFF085GOJ","JUND","HepG2","MICB",1
"ENCFF085MLO.bed.gz","ENCFF085MLO","ATF2","HepG2","MICA",4
"ENCFF085MLO.bed.gz","ENCFF085MLO","ATF2","HepG2","MICB",4
"ENCFF085MLO.bed.gz","ENCFF085MLO","ATF2","HepG2","RAET1E",1
"ENCFF085MLO.bed.gz","ENCFF085MLO","ATF2","HepG2","RAET1G",2
"ENCFF085MLO.bed.gz","ENCFF085MLO","ATF2","HepG2","ULBP3",2
"ENCFF085NHV.bed.gz","ENCFF085NHV","GATA3","MCF-7",NA,0
"ENCFF085QRM.bed.gz","ENCFF085QRM","CREB1","Ishikawa","ULBP1",1
"ENCFF085QRM.bed.gz","ENCFF085QRM","CREB1","Ishikawa","ULBP2",1
"ENCFF085VAA.bed.gz","ENCFF085VAA","ELK1","A549",NA,0
"ENCFF086NHZ.bed.gz","ENCFF086NHZ","ATF2","HepG2",NA,0
"ENCFF086TAD.bed.gz","ENCFF086TAD","ATF4","K562","ULBP1",1
"ENCFF087CHX.bed.gz","ENCFF087CHX","MAFF","HeLa-S3",NA,0
"ENCFF087MFG.bed.gz","ENCFF087MFG","FOSL1","K562",NA,0
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","MICA",2
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","MICB",1
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","RAET1G",1
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","RAET1L",1
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","ULBP1",1
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","ULBP2",1
"ENCFF088MWJ.bed.gz","ENCFF088MWJ","CREB1","MCF-7","ULBP3",2
"ENCFF088WYS.bed.gz","ENCFF088WYS","JUND","HCT116",NA,0
"ENCFF089BQU.bed.gz","ENCFF089BQU","ATF2","HepG2",NA,0
"ENCFF089MLX.bed.gz","ENCFF089MLX","RUNX1","K562",NA,0
"ENCFF089SHU.bed.gz","ENCFF089SHU","ATF1","K562","RAET1E",1
"ENCFF089SHU.bed.gz","ENCFF089SHU","ATF1","K562","ULBP1",1
"ENCFF089SHU.bed.gz","ENCFF089SHU","ATF1","K562","ULBP3",2
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","MICB",2
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","RAET1G",2
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","RAET1L",3
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","ULBP1",1
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","ULBP2",1
"ENCFF091AYC.bed.gz","ENCFF091AYC","ATF1","HepG2","ULBP3",3
"ENCFF091MQJ.bed.gz","ENCFF091MQJ","RUNX1","K562",NA,0
"ENCFF091TOR.bed.gz","ENCFF091TOR","BACH1","K562","MICA",1
"ENCFF091TOR.bed.gz","ENCFF091TOR","BACH1","K562","MICB",1
"ENCFF091TOR.bed.gz","ENCFF091TOR","BACH1","K562","RAET1G",1
"ENCFF091TOR.bed.gz","ENCFF091TOR","BACH1","K562","ULBP1",1
"ENCFF091TOR.bed.gz","ENCFF091TOR","BACH1","K562","ULBP3",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","MICB",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","RAET1E",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","RAET1G",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","RAET1L",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","ULBP2",1
"ENCFF092FFG.bed.gz","ENCFF092FFG","MAFK","HepG2","ULBP3",2
"ENCFF092FMT.bed.gz","ENCFF092FMT","DDIT3","HepG2",NA,0
"ENCFF092MMG.bed.gz","ENCFF092MMG","CREM","HepG2","MICA",2
"ENCFF092PUO.bed.gz","ENCFF092PUO","MYBL2","HepG2","MICA",1
"ENCFF092PUO.bed.gz","ENCFF092PUO","MYBL2","HepG2","MICB",3
"ENCFF093ETJ.bed.gz","ENCFF093ETJ","FOSL2","MCF-7","RAET1L",1
"ENCFF093TVZ.bed.gz","ENCFF093TVZ","CEBPB","MCF-7","ULBP1",1
"ENCFF094MRW.bed.gz","ENCFF094MRW","GATA3","MCF-7","MICA",3
"ENCFF094MRW.bed.gz","ENCFF094MRW","GATA3","MCF-7","MICB",1
"ENCFF094MRW.bed.gz","ENCFF094MRW","GATA3","MCF-7","RAET1L",1
"ENCFF094MRW.bed.gz","ENCFF094MRW","GATA3","MCF-7","ULBP1",1
"ENCFF094MRW.bed.gz","ENCFF094MRW","GATA3","MCF-7","ULBP3",1
"ENCFF095QYP.bed.gz","ENCFF095QYP","ATF3","K562","ULBP1",1
"ENCFF096AMF.bed.gz","ENCFF096AMF","ATF7","HepG2","MICA",2
"ENCFF096AMF.bed.gz","ENCFF096AMF","ATF7","HepG2","MICB",1
"ENCFF096AMF.bed.gz","ENCFF096AMF","ATF7","HepG2","ULBP1",1
"ENCFF096AMF.bed.gz","ENCFF096AMF","ATF7","HepG2","ULBP3",1
"ENCFF096FWY.bed.gz","ENCFF096FWY","MAFK","HepG2",NA,0
"ENCFF096JJG.bed.gz","ENCFF096JJG","JUND","HepG2",NA,0
"ENCFF096MYL.bed.gz","ENCFF096MYL","GATA3","MCF-7","MICB",2
"ENCFF096MYL.bed.gz","ENCFF096MYL","GATA3","MCF-7","RAET1L",2
"ENCFF096MYL.bed.gz","ENCFF096MYL","GATA3","MCF-7","ULBP1",1
"ENCFF096TPC.bed.gz","ENCFF096TPC","ESR1","MCF-7","MICB",1
"ENCFF096VAL.bed.gz","ENCFF096VAL","SP1","MCF-7","RAET1L",1
"ENCFF096VAL.bed.gz","ENCFF096VAL","SP1","MCF-7","ULBP2",1
"ENCFF096VAL.bed.gz","ENCFF096VAL","SP1","MCF-7","ULBP3",1
"ENCFF097IOD.bed.gz","ENCFF097IOD","JUN","HeLa-S3","MICA",1
"ENCFF097IOD.bed.gz","ENCFF097IOD","JUN","HeLa-S3","RAET1E",1
"ENCFF097IOD.bed.gz","ENCFF097IOD","JUN","HeLa-S3","RAET1L",1
"ENCFF097SYL.bed.gz","ENCFF097SYL","MAFF","HeLa-S3",NA,0
"ENCFF099AQK.bed.gz","ENCFF099AQK","SP1","MCF-7","RAET1L",1
"ENCFF099AQK.bed.gz","ENCFF099AQK","SP1","MCF-7","ULBP1",1
"ENCFF099AQK.bed.gz","ENCFF099AQK","SP1","MCF-7","ULBP3",1
"ENCFF099EFN.bed.gz","ENCFF099EFN","CEBPB","HepG2","MICA",1
"ENCFF099EFN.bed.gz","ENCFF099EFN","CEBPB","HepG2","MICB",1
"ENCFF100QYV.bed.gz","ENCFF100QYV","ELK1","MCF-7","MICA",1
"ENCFF101JCE.bed.gz","ENCFF101JCE","JUND","SK-N-SH","MICB",3
"ENCFF101JCE.bed.gz","ENCFF101JCE","JUND","SK-N-SH","RAET1G",1
"ENCFF101JCE.bed.gz","ENCFF101JCE","JUND","SK-N-SH","RAET1L",2
"ENCFF102LXY.bed.gz","ENCFF102LXY","ATF2","HepG2","MICA",1
"ENCFF103ESU.bed.gz","ENCFF103ESU","SP1","K562","MICB",1
"ENCFF103ESU.bed.gz","ENCFF103ESU","SP1","K562","RAET1L",3
"ENCFF103ESU.bed.gz","ENCFF103ESU","SP1","K562","ULBP1",3
"ENCFF103ESU.bed.gz","ENCFF103ESU","SP1","K562","ULBP3",4
"ENCFF103NOZ.bed.gz","ENCFF103NOZ","JUN","HepG2","MICB",2
"ENCFF103NOZ.bed.gz","ENCFF103NOZ","JUN","HepG2","RAET1E",1
"ENCFF103NOZ.bed.gz","ENCFF103NOZ","JUN","HepG2","RAET1L",1
"ENCFF103NOZ.bed.gz","ENCFF103NOZ","JUN","HepG2","ULBP2",1
"ENCFF103NOZ.bed.gz","ENCFF103NOZ","JUN","HepG2","ULBP3",1
