"file_name","file_accession","TF","cell_line","gene_name","n_overlapping_peaks"
"ENCFF113UJX.bed.gz","ENCFF113UJX","MAFF","HepG2",NA,0
"ENCFF114OBJ.bed.gz","ENCFF114OBJ","JUND","T47D","MICA",2
"ENCFF114OBJ.bed.gz","ENCFF114OBJ","JUND","T47D","RAET1E",2
"ENCFF114OBJ.bed.gz","ENCFF114OBJ","JUND","T47D","RAET1L",1
"ENCFF114SXF.bed.gz","ENCFF114SXF","CREB3","K562","MICA",1
"ENCFF116BSH.bed.gz","ENCFF116BSH","JUNB","K562",NA,0
"ENCFF116BWX.bed.gz","ENCFF116BWX","FOSL1","K562","ULBP1",1
"ENCFF116GFV.bed.gz","ENCFF116GFV","ATF7","K562","MICA",2
"ENCFF116GFV.bed.gz","ENCFF116GFV","ATF7","K562","MICB",1
"ENCFF116GFV.bed.gz","ENCFF116GFV","ATF7","K562","ULBP1",2
"ENCFF116GFV.bed.gz","ENCFF116GFV","ATF7","K562","ULBP2",2
"ENCFF116GFV.bed.gz","ENCFF116GFV","ATF7","K562","ULBP3",1
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","MICA",3
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","MICB",1
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","RAET1E",2
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","RAET1L",1
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","ULBP1",3
"ENCFF116LXB.bed.gz","ENCFF116LXB","GATA3","MCF-7","ULBP2",1
