"Experiment","BigWig file 1","BigWig file 2","BigWig file 3","BigWig file 4","BigWig file 5","BigWig file 6","BigWig file 7","BigWig file 8","BigWig file 9","BigWig file 10","BigWig file 11","BigWig file 12","BigWig file 13","BigWig file 14","BigWig file 15","BigWig file 16","BigWig file 17","BigWig file 18","BigWig file 19","BigWig file 20","BigWig file 21","BigWig file 22","Bed file 1","Bed file 2","Bed file 3","Bed file 4","Bed file 5","Bed file 6","Bed file 7","Bed file 8","Bed file 9","Bed file 10","Bed file 11","Bed file 12","Bed file 13","Bed file 14","Bed file 15","Bed file 16","Bed file 17","Bed file 18","Bed file 19","Bed file 20","Bed file 21","Bed file 22","Bed file 23","Bed file 24","Bed file 25","Bed file 26","Bed file 27","Bed file 28","Bed file 29","Bed file 30","Bed file 31","Bed file 32","Bed file 33","Bed file 34","Bed file 35","Bed file 36","Bed file 37","Bed file 38","Bed file 39","Bed file 40","Bed file 41","Bed file 42","Target","Tissue / cell line","Bed output type","BigWig output type"
"ENCSR000EZE","ENCFF000XBQ","ENCFF005CYO","ENCFF225QRB","ENCFF635GEX","ENCFF756NZG","ENCFF905YIS","ENCFF935PCH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000XBP","ENCFF001VHZ","ENCFF002CSB","ENCFF017GQK","ENCFF026YLD","ENCFF198MNT","ENCFF440AEH","ENCFF454SZB","ENCFF489RQK","ENCFF494YNM","ENCFF528MGB","ENCFF588DOK","ENCFF676QWR","ENCFF736JLN","ENCFF829XRF","ENCFF971TSU","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOS","HeLa-S3","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR000DKB","ENCFF000ZTP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000ZTN","ENCFF001VRH","ENCFF002DDV","ENCFF422QVU","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOS","K562","optimal IDR thresholded peaks; peaks","signal"
"ENCSR000FAI","ENCFF000YIF","ENCFF140KPZ","ENCFF210AHE","ENCFF211BIC","ENCFF378SNN","ENCFF610GXH","ENCFF684XAN","ENCFF713XBX","ENCFF834BYR","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000YIE","ENCFF001VMH","ENCFF002CVW","ENCFF084IPM","ENCFF135AES","ENCFF154BFR","ENCFF224TDK","ENCFF238YBL","ENCFF258PLH","ENCFF335AUM","ENCFF378UUI","ENCFF395NOS","ENCFF442BLK","ENCFF492NYO","ENCFF548LWG","ENCFF586UHP","ENCFF758WEL","ENCFF779KSO","ENCFF886XVJ","ENCFF894XEB","ENCFF911RTE","ENCFF951GBI","ENCFF959XIB","ENCFF980NLR","ENCFF995PPM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOS","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR569XNP","ENCFF050ZFM","ENCFF097HJB","ENCFF142QSH","ENCFF160WPD","ENCFF173WZX","ENCFF174XVH","ENCFF185NFN","ENCFF185VWZ","ENCFF250RPS","ENCFF279XPX","ENCFF300YUM","ENCFF327LTA","ENCFF419PYB","ENCFF461ZOL","ENCFF490HEP","ENCFF893EFT","ENCFF936JHA","ENCFF950XOS","-","-","-","-","ENCFF002LMY","ENCFF124QJZ","ENCFF132BIF","ENCFF170POB","ENCFF199ZZD","ENCFF218PNG","ENCFF220ZQF","ENCFF234YXL","ENCFF282FWZ","ENCFF289NSB","ENCFF306INL","ENCFF345JQL","ENCFF385JGV","ENCFF397ZDJ","ENCFF456DLB","ENCFF458JNP","ENCFF467TXZ","ENCFF519VZH","ENCFF538VTB","ENCFF540SXF","ENCFF549KXU","ENCFF663JQC","ENCFF673PVH","ENCFF676CVY","ENCFF732LJO","ENCFF802VUA","ENCFF806IOG","ENCFF834BCC","ENCFF888RBY","ENCFF890YVJ","ENCFF957FNM","ENCFF965AIZ","-","-","-","-","-","-","-","-","-","-","FOS","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR918GHT","ENCFF016XZD","ENCFF125NMI","ENCFF418OLO","ENCFF635RFX","ENCFF679DDH","ENCFF800OCT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF026HDR","ENCFF029EEU","ENCFF050TJU","ENCFF133ZSB","ENCFF211VJQ","ENCFF241NDA","ENCFF292KXY","ENCFF745STH","ENCFF768LNB","ENCFF814KHN","ENCFF840KLA","ENCFF995IMQ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSB","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR000BTE","ENCFF000OZQ","ENCFF000OZR","ENCFF045ROE","ENCFF049GES","ENCFF476CTW","ENCFF545SXV","ENCFF603NIU","ENCFF802AFD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000OZN","ENCFF000OZO","ENCFF001UDW","ENCFF001UDX","ENCFF289BNT","ENCFF390OQF","ENCFF427ISY","ENCFF465MGC","ENCFF491ALL","ENCFF494QVY","ENCFF540ZXN","ENCFF627PEU","ENCFF706LPK","ENCFF936WPZ","ENCFF942CQT","ENCFF943XZE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL1","HCT116","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR767NGL","ENCFF121NNY","ENCFF441PNV","ENCFF560JDF","ENCFF594VJQ","ENCFF628EGY","ENCFF938LUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF051MDJ","ENCFF095FBN","ENCFF351GVF","ENCFF449GIJ","ENCFF493FOI","ENCFF497SIC","ENCFF532HOG","ENCFF559XFS","ENCFF651IOT","ENCFF903EMT","ENCFF930ASZ","ENCFF949HSF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL1","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR000BMV","ENCFF000QAE","ENCFF000QAF","ENCFF109ULX","ENCFF115YDK","ENCFF135MPD","ENCFF172UOE","ENCFF198RVP","ENCFF331ETG","ENCFF477QBK","ENCFF536RHR","ENCFF635IQW","ENCFF656XBC","ENCFF751TGF","ENCFF818UTO","ENCFF857ARL","ENCFF863LSA","ENCFF922VNF","ENCFF957ZYR","ENCFF970NEI","ENCFF985XVX","-","-","ENCFF000QAA","ENCFF000QAB","ENCFF001UJX","ENCFF001UJY","ENCFF002CLY","ENCFF004HXL","ENCFF049TRE","ENCFF050JOS","ENCFF087MFG","ENCFF116BWX","ENCFF140HWC","ENCFF195SKU","ENCFF207LLP","ENCFF251LXJ","ENCFF267ADF","ENCFF292LKA","ENCFF299FAQ","ENCFF323IRR","ENCFF352JPL","ENCFF400JWL","ENCFF473GCH","ENCFF478IQC","ENCFF503LMD","ENCFF578CYI","ENCFF628WAN","ENCFF632NYH","ENCFF636LOB","ENCFF728OTE","ENCFF753OLX","ENCFF784CXA","ENCFF794OXE","ENCFF802RCC","ENCFF818IMH","ENCFF918XUQ","ENCFF945FHB","ENCFF958LUI","ENCFF961OPH","ENCFF977RQG","-","-","-","-","FOSL1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks; peaks and background as input for IDR","fold change over control; raw signal; signal p-value"
"ENCSR239ZLZ","ENCFF002WEI","ENCFF094CHG","ENCFF111LCG","ENCFF159BJW","ENCFF213JFZ","ENCFF236LWZ","ENCFF338UWD","ENCFF365ZUD","ENCFF377RNP","ENCFF400NLF","ENCFF495CRT","ENCFF554DIU","ENCFF682TPV","ENCFF759GQV","ENCFF809WLU","ENCFF828VGK","ENCFF887ADK","ENCFF914GYG","-","-","-","-","ENCFF128CKT","ENCFF151FYK","ENCFF154YRC","ENCFF155DSJ","ENCFF170SAA","ENCFF216IJX","ENCFF256NXT","ENCFF263WAY","ENCFF294HHL","ENCFF357FTV","ENCFF425FAW","ENCFF455MKD","ENCFF485TYY","ENCFF595YQB","ENCFF599SGV","ENCFF631TRD","ENCFF649UBD","ENCFF660RIS","ENCFF692PVV","ENCFF717XZJ","ENCFF744SJI","ENCFF820EPO","ENCFF841ZQQ","ENCFF862BHV","ENCFF877UDE","ENCFF907RDS","ENCFF912QBK","ENCFF995HDR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR448TVS","ENCFF115CMO","ENCFF183DZK","ENCFF606VQQ","ENCFF832RBY","ENCFF841KQH","ENCFF910JVM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF009KBH","ENCFF075JEN","ENCFF174ZLI","ENCFF195CES","ENCFF232TVP","ENCFF441JLH","ENCFF444OTS","ENCFF446LJZ","ENCFF486RMY","ENCFF563LKK","ENCFF879BBH","ENCFF919VPG","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL2","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
