"Experiment","BigWig file 1","BigWig file 2","BigWig file 3","BigWig file 4","BigWig file 5","BigWig file 6","BigWig file 7","BigWig file 8","BigWig file 9","BigWig file 10","BigWig file 11","BigWig file 12","BigWig file 13","BigWig file 14","BigWig file 15","BigWig file 16","BigWig file 17","BigWig file 18","BigWig file 19","BigWig file 20","BigWig file 21","BigWig file 22","Bed file 1","Bed file 2","Bed file 3","Bed file 4","Bed file 5","Bed file 6","Bed file 7","Bed file 8","Bed file 9","Bed file 10","Bed file 11","Bed file 12","Bed file 13","Bed file 14","Bed file 15","Bed file 16","Bed file 17","Bed file 18","Bed file 19","Bed file 20","Bed file 21","Bed file 22","Bed file 23","Bed file 24","Bed file 25","Bed file 26","Bed file 27","Bed file 28","Bed file 29","Bed file 30","Bed file 31","Bed file 32","Bed file 33","Bed file 34","Bed file 35","Bed file 36","Bed file 37","Bed file 38","Bed file 39","Bed file 40","Bed file 41","Bed file 42","Target","Tissue / cell line","Bed output type","BigWig output type"
"ENCSR593DGU","ENCFF081QZR","ENCFF129REO","ENCFF150KKC","ENCFF178HAA","ENCFF485GUN","ENCFF551HFX","ENCFF690OWP","ENCFF855VZS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF052TRP","ENCFF066CDB","ENCFF081TVT","ENCFF104YMX","ENCFF139BUV","ENCFF282PSU","ENCFF367NPV","ENCFF569LWD","ENCFF651PDH","ENCFF695EFL","ENCFF709YBY","ENCFF753GRG","ENCFF839UTU","ENCFF938ELS","ENCFF976HNC","ENCFF979WCM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL2","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; signal of unique reads; signal p-value"
"ENCSR000BHP","ENCFF000PHN","ENCFF000PHO","ENCFF017HCX","ENCFF024JYK","ENCFF068WAN","ENCFF074FKR","ENCFF218ILF","ENCFF321KVH","ENCFF513JRV","ENCFF514DAO","ENCFF569LIJ","ENCFF586UTL","ENCFF630OJD","ENCFF654CHW","ENCFF655PGJ","ENCFF672WAO","ENCFF858SNG","ENCFF982DFL","ENCFF992ZGF","ENCFF994BKW","-","-","ENCFF000PHJ","ENCFF000PHK","ENCFF001UFS","ENCFF001UFT","ENCFF002CKH","ENCFF037QOS","ENCFF054ESU","ENCFF057YZB","ENCFF105NJB","ENCFF155UGM","ENCFF157GJO","ENCFF236NST","ENCFF287CHJ","ENCFF313FEY","ENCFF365CIA","ENCFF395KPJ","ENCFF400GZN","ENCFF401HSI","ENCFF407WEB","ENCFF446QWM","ENCFF446XBE","ENCFF449NJO","ENCFF461JVX","ENCFF475KOQ","ENCFF560WQA","ENCFF613QAN","ENCFF620ZIR","ENCFF630IDY","ENCFF651QYC","ENCFF654LDO","ENCFF661ITW","ENCFF796NIA","ENCFF821RQJ","ENCFF908EGP","ENCFF916GIW","ENCFF933WKQ","ENCFF956AVI","ENCFF968HSD","-","-","-","-","FOSL2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks; peaks and background as input for IDR","fold change over control; raw signal; signal p-value"
"ENCSR249EYB","ENCFF087ICF","ENCFF170NPK","ENCFF220URJ","ENCFF680AIL","ENCFF680NMD","ENCFF975FWW","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF055WOU","ENCFF073EPT","ENCFF084CVA","ENCFF180GYU","ENCFF200ULH","ENCFF469RCT","ENCFF548CXY","ENCFF641HFN","ENCFF647IQD","ENCFF734XVK","ENCFF772SCR","ENCFF790HPY","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR000BUI","ENCFF000QML","ENCFF000QMM","ENCFF133ZCW","ENCFF265FQE","ENCFF510CWC","ENCFF704HAX","ENCFF924PLP","ENCFF962OHH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000QMG","ENCFF000QMH","ENCFF001UMR","ENCFF001UMS","ENCFF158FOX","ENCFF281YPE","ENCFF423KOE","ENCFF470EDW","ENCFF506QUO","ENCFF514ITC","ENCFF556ZCT","ENCFF716UWP","ENCFF885JJG","ENCFF907FPY","ENCFF955ELD","ENCFF978WRQ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL2","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR546KCN","ENCFF080PKN","ENCFF149OQM","ENCFF191GIQ","ENCFF214LVB","ENCFF376JVU","ENCFF398JDC","ENCFF443QKZ","ENCFF453LHZ","ENCFF466XKP","ENCFF530DKN","ENCFF617JVV","ENCFF708HXY","ENCFF752SXD","ENCFF867OEG","ENCFF890SFA","ENCFF951XVD","ENCFF966GDM","ENCFF972JMX","-","-","-","-","ENCFF093ETJ","ENCFF185QGO","ENCFF188KBZ","ENCFF192XQG","ENCFF197YYJ","ENCFF230JZS","ENCFF252VKD","ENCFF262IHS","ENCFF331KNS","ENCFF345WBX","ENCFF356OGZ","ENCFF369FZI","ENCFF394UVI","ENCFF410NZM","ENCFF461EVQ","ENCFF462MYY","ENCFF599OQO","ENCFF609GHM","ENCFF622WXB","ENCFF654IHK","ENCFF702WUG","ENCFF751QEY","ENCFF781IKQ","ENCFF801CZR","ENCFF818TQX","ENCFF857LGS","ENCFF894GTA","ENCFF927BKR","ENCFF964XJN","ENCFF967BLR","ENCFF992UMI","ENCFF998CZO","-","-","-","-","-","-","-","-","-","-","FOSL2","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR000BVB","ENCFF000QXS","ENCFF000QXT","ENCFF041VUA","ENCFF160NFM","ENCFF263JWC","ENCFF355CBU","ENCFF406FGA","ENCFF858SNZ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000QXO","ENCFF000QXP","ENCFF001UPB","ENCFF001UPC","ENCFF127ZDW","ENCFF209EPG","ENCFF303HLV","ENCFF320UWD","ENCFF354QBJ","ENCFF364YWX","ENCFF366RJW","ENCFF457SCY","ENCFF533VYT","ENCFF723PUY","ENCFF762TYK","ENCFF851ZMJ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FOSL2","SK-N-SH","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR000BTI","ENCFF000NAZ","ENCFF000NBB","ENCFF178QFH","ENCFF332HXD","ENCFF360FLA","ENCFF376ZHA","ENCFF485KDU","ENCFF656WHC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000NAV","ENCFF000NAW","ENCFF001TSL","ENCFF001TSM","ENCFF025YUC","ENCFF210TFB","ENCFF226FVV","ENCFF430UEY","ENCFF473SSS","ENCFF475BWS","ENCFF517TKD","ENCFF619XDX","ENCFF627LLP","ENCFF686KBQ","ENCFF803VXN","ENCFF829DNJ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GATA3","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR000BST","ENCFF000QNH","ENCFF000QNI","ENCFF120BNO","ENCFF342GNN","ENCFF506TAG","ENCFF564VMT","ENCFF686DDE","ENCFF917FOV","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000QNF","ENCFF000QNG","ENCFF001UMX","ENCFF001UMZ","ENCFF094MRW","ENCFF117BRW","ENCFF245DWU","ENCFF295KJW","ENCFF346EZD","ENCFF350ILN","ENCFF406GRN","ENCFF409OJR","ENCFF437NQS","ENCFF565QWY","ENCFF840JMH","ENCFF998UMB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GATA3","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR000EWS","ENCFF000ZKW","ENCFF085NFS","ENCFF375WKY","ENCFF396ZEK","ENCFF794AFQ","ENCFF858NLQ","ENCFF951CUN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000ZKR","ENCFF001VQG","ENCFF002CZK","ENCFF052DQV","ENCFF093ETA","ENCFF096MYL","ENCFF178GBS","ENCFF275GTG","ENCFF305KZE","ENCFF381ULU","ENCFF473WTW","ENCFF501VJS","ENCFF659KSX","ENCFF739IFX","ENCFF968PCO","ENCFF973RGJ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GATA3","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR000EWV","ENCFF000ZKN","ENCFF087MTQ","ENCFF111IXT","ENCFF181DBW","ENCFF313GCS","ENCFF668UPC","ENCFF961DJW","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000ZKI","ENCFF001VQF","ENCFF002CZJ","ENCFF020RCX","ENCFF085NHV","ENCFF176BNB","ENCFF301PJG","ENCFF336XFC","ENCFF546XVY","ENCFF678TDT","ENCFF695MAU","ENCFF838VNC","ENCFF841ZTL","ENCFF940HGF","ENCFF944VAJ","ENCFF988PXT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GATA3","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR423RTK","ENCFF031PDO","ENCFF145WHY","ENCFF176AFY","ENCFF228CBJ","ENCFF254XOQ","ENCFF354SHN","ENCFF384CPN","ENCFF477GZL","ENCFF558LIU","ENCFF560ETL","ENCFF571FWC","ENCFF594KBE","ENCFF703CUQ","ENCFF723OTP","ENCFF824XAL","ENCFF835LFN","ENCFF971AZB","ENCFF982XKG","-","-","-","-","ENCFF051JBT","ENCFF086LTL","ENCFF116LXB","ENCFF128XWJ","ENCFF161DQL","ENCFF169CKY","ENCFF217KJR","ENCFF259LJY","ENCFF305NTW","ENCFF313TUJ","ENCFF324FTX","ENCFF325SFF","ENCFF352QVM","ENCFF374KZL","ENCFF493MKW","ENCFF495QSX","ENCFF500LVV","ENCFF503TKI","ENCFF510UQY","ENCFF557SHR","ENCFF625IUE","ENCFF779ANV","ENCFF788XMY","ENCFF790ANG","ENCFF862RFB","ENCFF863GRL","ENCFF874LLH","ENCFF891ELE","ENCFF909LIE","ENCFF909TEB","ENCFF912MWD","ENCFF955EHX","-","-","-","-","-","-","-","-","-","-","GATA3","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR000BTH","ENCFF000QYQ","ENCFF000QYR","ENCFF308WOJ","ENCFF344RYH","ENCFF770OLH","ENCFF862BZT","ENCFF863ZFE","ENCFF900IZH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000QYM","ENCFF000QYN","ENCFF001UPH","ENCFF001UPI","ENCFF013COV","ENCFF040SSB","ENCFF078MQH","ENCFF104DIC","ENCFF351FTQ","ENCFF466BIS","ENCFF607YBS","ENCFF766ZGQ","ENCFF805SRK","ENCFF833ZAC","ENCFF973FPV","ENCFF997EXZ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GATA3","SK-N-SH","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; raw signal; signal p-value"
"ENCSR000DOE","ENCFF000YNS","ENCFF136EEP","ENCFF175JKD","ENCFF180ZTX","ENCFF211EGL","ENCFF288YXL","ENCFF405AFG","ENCFF464CYO","ENCFF517LWE","ENCFF539FKA","ENCFF655ZMK","ENCFF856EMT","ENCFF925DTL","-","-","-","-","-","-","-","-","-","ENCFF000YNQ","ENCFF001VNF","ENCFF002CWR","ENCFF083MVL","ENCFF211TNC","ENCFF218IGO","ENCFF261NLZ","ENCFF265TUK","ENCFF369WLU","ENCFF427JSI","ENCFF459FAC","ENCFF493YNR","ENCFF504LGT","ENCFF579OUH","ENCFF686FYA","ENCFF716QMI","ENCFF731KVK","ENCFF767DHX","ENCFF767GEX","ENCFF806MWQ","ENCFF818MRY","ENCFF827MSM","ENCFF970ULG","ENCFF987FJR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GTF2B","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks; peaks and background as input for IDR","fold change over control; signal; signal p-value"
"ENCSR318GET","ENCFF085TGH","ENCFF169BMX","ENCFF453BRP","ENCFF506SDD","ENCFF550LST","ENCFF871OWP","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF046MMN","ENCFF214TLU","ENCFF237MJL","ENCFF311QDS","ENCFF334WKJ","ENCFF688UTO","ENCFF709KLJ","ENCFF718WYQ","ENCFF840XSC","ENCFF870YDX","ENCFF888TQV","ENCFF963XVV","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","HOXA9","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR211BDR","ENCFF052KGL","ENCFF072HDJ","ENCFF091WNK","ENCFF102XXQ","ENCFF223QGJ","ENCFF397WSF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF018HXI","ENCFF152YSU","ENCFF182TSJ","ENCFF241BQJ","ENCFF323DFB","ENCFF424PFP","ENCFF451QUC","ENCFF552XOP","ENCFF626CLS","ENCFF791DHB","ENCFF938KZM","ENCFF972UXQ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JDP2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR048CVK","ENCFF036FUS","ENCFF151QEJ","ENCFF162CTJ","ENCFF471ZYJ","ENCFF815NVB","ENCFF949FJX","ENCFF957TUK","ENCFF977OEH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF064QGH","ENCFF160TKE","ENCFF164AKR","ENCFF173SHI","ENCFF191QZG","ENCFF202DUT","ENCFF280RQS","ENCFF301KRB","ENCFF431RVB","ENCFF441DHM","ENCFF612YST","ENCFF620VJO","ENCFF653APF","ENCFF667IME","ENCFF769AVZ","ENCFF999VYH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; signal of unique reads; signal p-value"
"ENCSR192PBJ","ENCFF098TLC","ENCFF172FMQ","ENCFF279RAQ","ENCFF314IQR","ENCFF382ENV","ENCFF425SEZ","ENCFF454QIB","ENCFF522ITF","ENCFF663GEP","ENCFF976HDG","ENCFF985QSR","-","-","-","-","-","-","-","-","-","-","-","ENCFF053ZVO","ENCFF269DUB","ENCFF278FZO","ENCFF318DIP","ENCFF329CUQ","ENCFF395WSN","ENCFF467ZDE","ENCFF510WNP","ENCFF561KTA","ENCFF617GLE","ENCFF660ZKV","ENCFF671KET","ENCFF696DFP","ENCFF740TUD","ENCFF745GNP","ENCFF755QMA","ENCFF759URR","ENCFF810JYE","ENCFF832ZYX","ENCFF846DUV","ENCFF883MEM","ENCFF904UJP","ENCFF939QUZ","ENCFF945OSN","ENCFF971BAQ","ENCFF974FYU","ENCFF988ODU","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; signal of unique reads; signal p-value"
"ENCSR996DUT","ENCFF114IVM","ENCFF131JRH","ENCFF179FRF","ENCFF204CKA","ENCFF279WQF","ENCFF322UPW","ENCFF333DJC","ENCFF400DFW","ENCFF447BDR","ENCFF449LBP","ENCFF592LSV","ENCFF665NJI","ENCFF692JGD","ENCFF742NFB","ENCFF772MRW","ENCFF867OUV","ENCFF897SFR","ENCFF975UZZ","-","-","-","-","ENCFF056QPQ","ENCFF099XTV","ENCFF126HQI","ENCFF127HJG","ENCFF130MHC","ENCFF155CWQ","ENCFF155WKH","ENCFF174QMI","ENCFF208NRD","ENCFF274DVY","ENCFF340LQL","ENCFF352MAF","ENCFF392NXO","ENCFF398MPD","ENCFF432SAH","ENCFF448YRY","ENCFF505EYQ","ENCFF589XFT","ENCFF708LCH","ENCFF716DUT","ENCFF728PWF","ENCFF774JLV","ENCFF775ODT","ENCFF775ZQY","ENCFF914MDV","ENCFF918TOL","ENCFF926CND","ENCFF930ARL","ENCFF949NJP","ENCFF967CMO","ENCFF967FLQ","ENCFF995JWD","-","-","-","-","-","-","-","-","-","-","JUN","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR000EDG","ENCFF000XCD","ENCFF022EQD","ENCFF088MBH","ENCFF245VLB","ENCFF542QZY","ENCFF620ZIW","ENCFF979RWX","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000XCC","ENCFF001VIC","ENCFF002CSD","ENCFF097IOD","ENCFF335WNV","ENCFF429OBZ","ENCFF566SCZ","ENCFF584OTW","ENCFF617QTL","ENCFF668QVP","ENCFF806AQE","ENCFF831NXF","ENCFF846HUI","ENCFF894CJN","ENCFF941VTP","ENCFF971CYE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","HeLa-S3","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR000EEK","ENCFF000XQO","ENCFF072EWZ","ENCFF076DHA","ENCFF357FTO","ENCFF385KKM","ENCFF445QWL","ENCFF524GJI","ENCFF550QYB","ENCFF615AFN","ENCFF624CKF","ENCFF634DSC","ENCFF732BEG","ENCFF761YQA","ENCFF819DGJ","ENCFF831UEI","ENCFF913TPG","ENCFF920XOJ","ENCFF972PLC","ENCFF995KCY","-","-","-","ENCFF000XQL","ENCFF001VKB","ENCFF002CTY","ENCFF009HAK","ENCFF079UOJ","ENCFF094WXD","ENCFF103NOZ","ENCFF117YIS","ENCFF121UYS","ENCFF131ZEU","ENCFF209LXA","ENCFF234PHK","ENCFF265UCB","ENCFF331IUK","ENCFF350DTX","ENCFF401CRH","ENCFF415DOT","ENCFF448LKU","ENCFF505TKN","ENCFF544CRS","ENCFF558VCR","ENCFF585RTK","ENCFF590IBE","ENCFF616URY","ENCFF740AAG","ENCFF784KVX","ENCFF789NQB","ENCFF794CVN","ENCFF875ZOG","ENCFF902PRH","ENCFF904AZY","ENCFF914UUZ","ENCFF916SBW","ENCFF934ECP","ENCFF939IIB","ENCFF969PSX","-","-","-","-","-","-","JUN","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks; peaks and background as input for IDR","fold change over control; signal; signal p-value"
"ENCSR747VUU","ENCFF179VSA","ENCFF188AJS","ENCFF538VRO","ENCFF792OYX","ENCFF807SEI","ENCFF888XEN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF355KJO","ENCFF400ITM","ENCFF544UXM","ENCFF585XZF","ENCFF636SGK","ENCFF758NSS","ENCFF860EKP","ENCFF906QBG","ENCFF910FFW","ENCFF922MJE","ENCFF946FXC","ENCFF984RZU","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR000EFS","ENCFF000YJO","ENCFF019RFT","ENCFF106VGF","ENCFF242EWA","ENCFF243LNJ","ENCFF345MES","ENCFF361SMB","ENCFF431DHN","ENCFF476UKJ","ENCFF528PWS","ENCFF551KIJ","ENCFF587LBJ","ENCFF692BOZ","ENCFF722NGA","ENCFF732NBL","ENCFF756UVW","ENCFF780KHA","ENCFF812WJT","ENCFF957HFI","-","-","-","ENCFF000YJI","ENCFF001VMO","ENCFF034DMF","ENCFF035MOG","ENCFF088VCF","ENCFF182AWR","ENCFF182NTM","ENCFF190CGV","ENCFF235SSQ","ENCFF283XPJ","ENCFF324KJW","ENCFF394CEC","ENCFF400UDO","ENCFF422SBX","ENCFF478EFX","ENCFF498BRE","ENCFF543MHK","ENCFF554TLT","ENCFF596KVH","ENCFF629BFI","ENCFF645VQU","ENCFF678MJZ","ENCFF688WGA","ENCFF721AJT","ENCFF804LZH","ENCFF866AII","ENCFF893YYD","ENCFF905NMP","ENCFF924JXT","ENCFF934OCU","ENCFF946YTQ","ENCFF947ENR","ENCFF976GWT","ENCFF984NME","-","-","-","-","-","-","-","-","JUN","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks; peaks and background as input for IDR","fold change over control; signal; signal p-value"
"ENCSR000FAH","ENCFF000YJS","ENCFF195TKF","ENCFF467CZK","ENCFF632VTV","ENCFF764AXM","ENCFF855IHJ","ENCFF866PWS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000YJR","ENCFF001VMP","ENCFF002CWC","ENCFF285JPH","ENCFF332VWD","ENCFF432LMY","ENCFF455LLS","ENCFF477UIF","ENCFF508TQH","ENCFF589QXC","ENCFF611AEN","ENCFF650NPL","ENCFF752ZPH","ENCFF828WFV","ENCFF843CAU","ENCFF903CUR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR946WBN","ENCFF013TGT","ENCFF019PUO","ENCFF220RDW","ENCFF448TJP","ENCFF612EKJ","ENCFF933PHD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF195SFC","ENCFF196GQT","ENCFF212RFY","ENCFF253KDP","ENCFF309EWT","ENCFF372VWH","ENCFF384SSM","ENCFF725ARJ","ENCFF769ZHE","ENCFF865UPM","ENCFF888LFK","ENCFF997DOX","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUN","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR176EXN","ENCFF006TZM","ENCFF153TPD","ENCFF213CMB","ENCFF355MDC","ENCFF362MRF","ENCFF370DGU","ENCFF373OIB","ENCFF431LTJ","ENCFF473URL","ENCFF509QHP","ENCFF513YRC","ENCFF516LFJ","ENCFF541ZRX","ENCFF662UNB","ENCFF702NVW","ENCFF730TVS","ENCFF738TKB","ENCFF749CCL","ENCFF884CSA","ENCFF885IPR","-","-","ENCFF071GMA","ENCFF077UUI","ENCFF145SYZ","ENCFF190GZL","ENCFF219RVG","ENCFF242UOB","ENCFF295TFC","ENCFF314KRZ","ENCFF330BYY","ENCFF344TGN","ENCFF350EZO","ENCFF397PVC","ENCFF400IYZ","ENCFF422VAD","ENCFF477SSD","ENCFF479YVZ","ENCFF481CJE","ENCFF514QBW","ENCFF516LZH","ENCFF521WPO","ENCFF528GUQ","ENCFF561CXF","ENCFF589ALX","ENCFF595WOT","ENCFF651CFD","ENCFF718AYW","ENCFF719UTN","ENCFF727XCA","ENCFF738UHD","ENCFF761VRT","ENCFF769TUY","ENCFF803YMN","ENCFF836SJY","ENCFF863WXR","ENCFF907IUT","ENCFF907UNK","ENCFF925VOE","ENCFF946SUD","ENCFF960PAB","ENCFF960ZSI","ENCFF975WUZ","ENCFF997LED","JUN","MCF-7","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR431LRW","ENCFF364KVI","ENCFF369WSE","ENCFF477DOE","ENCFF806CLN","ENCFF854HWX","ENCFF886PME","ENCFF949SGB","ENCFF959GTE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF003UKW","ENCFF036VQF","ENCFF067MKL","ENCFF116MKG","ENCFF211YJL","ENCFF218YQB","ENCFF251BPG","ENCFF330WUG","ENCFF513JOM","ENCFF565QYS","ENCFF593EVE","ENCFF654YBE","ENCFF683JTQ","ENCFF699ESG","ENCFF736XAB","ENCFF988QUL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUNB","A549","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; peaks","fold change over control; signal of unique reads; signal p-value"
"ENCSR685GGQ","ENCFF109QHX","ENCFF238NIE","ENCFF342CXG","ENCFF512IOM","ENCFF616GAN","ENCFF645BTR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF057CVW","ENCFF133OUQ","ENCFF176HCK","ENCFF259QFI","ENCFF304YRK","ENCFF508VWZ","ENCFF579QGS","ENCFF606UEW","ENCFF771ZXF","ENCFF828TUW","ENCFF913WLJ","ENCFF988ZUA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUNB","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR000DJY","ENCFF000ZUI","ENCFF096ELC","ENCFF300LGM","ENCFF326CEH","ENCFF554NCS","ENCFF818UVU","ENCFF837YHG","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000ZUG","ENCFF001VRK","ENCFF002DDY","ENCFF051NBN","ENCFF072OXR","ENCFF240ZMK","ENCFF292XDL","ENCFF362UGH","ENCFF388SEP","ENCFF611BKA","ENCFF700ERX","ENCFF701NOZ","ENCFF734EGM","ENCFF811GGC","ENCFF867TCE","ENCFF879BFI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUNB","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR525VAT","ENCFF114SLT","ENCFF434RMI","ENCFF502CAJ","ENCFF630XBL","ENCFF690RWM","ENCFF965VAA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF016FWJ","ENCFF048VXC","ENCFF049YII","ENCFF116BSH","ENCFF159MNQ","ENCFF243KHS","ENCFF499ODC","ENCFF510IDP","ENCFF741LKD","ENCFF783JFL","ENCFF829JBQ","ENCFF932KRN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","JUNB","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
