gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
ULBP1,1.95788860389356,1.57833494868161,0.832415314718552,3.84024165112349,0.143645492770554,0.207300663063258,0.0473303799988535,1.77543829928508,0.612101450333179
ULBP2,3.63734361395543,1.99072618872171,3.04793791878306,2.77948246453727,2.11620171229218,0.0665273586801313,0,2.66909708383721,1.03953850200806
ULBP3,3.83820552623697,1.55040819321728,2.23326533418674,0.0905594429181525,2.07394016732401,1.23679872808771,0.467882520942496,0.99100059038295,1.72678763042118
RAET1L,1.64601976335228,0.0545303893068186,1.48278634134344,0,0,0,0,0.0774098222679685,0.036220569451887
RAET1E,2.52551517141551,2.0812168977009,0.266507117943044,0,0.671563314649272,0.0118519748528827,0,0.157355505602849,1.5973118631423
RAET1G,0.545019435696236,3.87890186712278,1.38211385993393,0,1.05277061161575,0.0198883320408386,0.154927931930222,0.446736871686947,1.34921239364573
MICB,4.88678423706052,2.93977571303886,3.65515716614935,4.4790429676072,2.6923892554254,3.92858825063694,3.02131448317054,3.88456861747566,5.52093448719025
MICA,4.60618754273483,3.99448921353214,4.1736631464655,3.63952159951083,3.80512733083907,2.26845834846328,4.05811731025694,4.707182408372,4.41438588516612
