"tissue_simple","p_value","median_normal","median_tumor","delta_median","y_pos","y_seg","FDR","label_fdr","stars"
"Cervix",4.32931169032316e-29,6.85988498342663,57.4901349830752,50.6302499996486,280.134868506551,267.237422286971,3.24698376774237e-28,"FDR=3.25e-28","***"
"Bladder",0.00752841673839161,24.7251510778627,36.6398058026295,11.9146547247667,244.743463171043,233.577560653962,0.0102660228250795,"FDR=0.0103","*"
"Rectum",0.0608564500479017,14.9002099819772,19.8402869715363,4.94007698955916,66.5996200428275,63.9496400310537,0.070218980824502,"FDR=0.0702","ns"
"Liver",1.69337581321233e-07,7.81988355231996,10.9250915930425,3.10520804072255,74.1350782201726,70.7320653576439,4.23343953303083e-07,"FDR=4.23e-07","***"
"Kidney",0.0579932152287568,21.0500676992897,22.3095552559276,1.2594875566379,106.42338730537,101.496378633825,0.070218980824502,"FDR=0.0702","ns"
"Brain",3.08850273775131e-06,7.03005911648907,5.86999347670981,-1.16006563977926,135.085515051,128.831556020861,6.61822015232423e-06,"FDR=6.62e-06","***"
"Thyroid",0.00112125985031256,33.550390945579,31.8195870869446,-1.73080385863437,126.824430066924,120.952928674936,0.00168188977546884,"FDR=0.00168","**"
"Colon",0.0785308727173097,23.7996681626742,21.8901829830592,-1.90948517961507,95.4518205009473,91.0327547370146,0.0841402207685461,"FDR=0.0841","ns"
"Breast",5.98820216708823e-05,26.7904217659089,24.5698892585733,-2.22053250733561,138.59553024235,132.279533106193,9.98033694514705e-05,"FDR=9.98e-05","***"
"Skin",2.81329321565302e-05,38.7000961726854,30.4398899703615,-8.26020620232392,94.3047089814301,90.1206974636321,5.27492477934941e-05,"FDR=5.27e-05","***"
"Prostate",1.90206515629765e-23,25.4546319581215,15.7803025630664,-9.67432939505503,90.0115279464815,85.9165500809332,9.51032578148826e-23,"FDR=9.51e-23","***"
"Lung",8.66896063361677e-11,47.1346285047939,35.7495013325988,-11.3851271721952,440.336593892735,419.950640471775,2.60068819008503e-10,"FDR=2.6e-10","***"
"HeadNeck",0.768559105737211,90.1300837184855,77.8895231541373,-12.2405605643482,294.562351095593,281.002055685134,0.768559105737211,"FDR=0.769","ns"
"Uterus",1.2561316426488e-19,41.3212465549447,21.400519026057,-19.9207275288877,139.026199737218,132.772209654107,4.710493659933e-19,"FDR=4.71e-19","***"
"Ovary",4.29891351663963e-32,45.1793800586692,16.6649609888691,-28.5144190698001,128.219282364226,122.283204476994,6.44837027495945e-31,"FDR=6.45e-31","***"
