ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000093	Panc 05.04	PANC0504	PANC0504_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP3	-0.138630812546543
ACH-000093	Panc 05.04	PANC0504	PANC0504_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP4	0.344205886621455
ACH-000093	Panc 05.04	PANC0504	PANC0504_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP5	-0.148196856534191
ACH-000093	Panc 05.04	PANC0504	PANC0504_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP6	-0.102879132697592
ACH-000103	Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	MICA	0.249965930023849
ACH-000103	Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	MICB	-0.0816000895584291
ACH-000103	Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	ULBP1	0.385360971417065
ACH-000103	Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	ULBP3	-0.118227531548926
ACH-000103	Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	ULBP4	0.162666645992377
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICA	0.0737455753352557
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MICB	-0.0125158389471674
ACH-000118	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	ULBP1	0.167249044803111
