Gene	n_cell_lines	mean_effect	median_effect	min_effect	max_effect	percent_below_minus_0_5	percent_below_minus_1
MICA	1208	0.0548375235312443	0.0530392192853544	-0.561946111207538	0.7011900919759	0.0827814569536424	0
MICB	1208	-0.198141958659456	-0.20008445825659	-0.821954564991015	0.37795201927049	2.40066225165563	0
ULBP1	1208	0.0922779238323947	0.0984328721153616	-0.641044831017159	0.659259524310116	0.0827814569536424	0
ULBP2	1090	-0.111816821191361	-0.105962124607723	-0.951399243585622	0.439603079536365	2.01834862385321	0
ULBP3	1208	-0.0396144167728058	-0.0342642248037414	-0.93314945804627	0.495944829557681	0.745033112582782	0
ULBP4	1208	0.155949115305382	0.159818486626585	-0.313839050273548	0.552556826467442	0	0
ULBP5	1047	-0.0252836197207248	-0.0267212253995323	-0.513790181529343	0.56417455901659	0.191021967526266	0
ULBP6	1047	-0.0719098160159784	-0.0632837516645215	-1.39531127560708	0.743722678361166	0.573065902578797	0.0955109837631328
