"CAR_Variant","NKG2DL_sum","n_cells"
"CD357-CD79B",0.283514612478755,110
"CD4-FCGR2A",0.272974244176943,140
"TIM1-FCER1G",0.258141705801433,167
"HVEM-CD79B",0.220967444876755,195
"4-1BB-CD79A",0.219472117964163,227
"TIM1-CD3G",0.204931703918702,124
"CD4-K1",0.190036561586998,186
"CD223-FCER1G",0.180509819734978,181
"CD30-CD79B",0.179338791329312,319
"TIM1-CD79B",0.176672931867721,2211
"4-1BB-FCER1G",0.170839872491962,173
"CD223-CD79B",0.0997276181200252,127
