"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_CellCycle-G2M","CellCycle-G2M","MICA",0.0622987207711041,1.60107689545344e-24,26866,7.69144783109986e-24
"TCAT_CellCycle-G2M","CellCycle-G2M","MICB",0.190311373551357,1.61551262556806e-217,26866,1.97900296632088e-215
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP1",0.0154935470383444,0.0110992486837766,26866,0.0192859285640089
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP2",0.0167625946003891,0.00600337280819201,26866,0.0108148995441694
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP3",0.0580277727270005,1.75149517816488e-21,26866,6.92123094597413e-21
"TCAT_CellCycle-G2M","CellCycle-G2M","RAET1E",0.0011038781385776,0.856425143599272,26866,0.908329697756804
"TCAT_CellCycle-G2M","CellCycle-G2M","NKG2DL_sum",0.161995141899158,2.23383188561281e-157,26866,1.09457762395028e-155
"TCAT_HLA","HLA","MICA",0.063514775410109,1.99584757712911e-25,26866,9.97923788564556e-25
"TCAT_HLA","HLA","MICB",0.154298561549866,8.61893746126045e-143,26866,3.51939946334802e-141
"TCAT_HLA","HLA","ULBP1",0.0139804704291637,0.021933157181671,26866,0.0358241567300626
"TCAT_HLA","HLA","ULBP2",0.0616869514871842,4.49568771370641e-24,26866,2.11816055741937e-23
"TCAT_HLA","HLA","ULBP3",0.0647820542104503,2.18438740434005e-26,26866,1.1149477376319e-25
"TCAT_HLA","HLA","RAET1E",0.0128523504185799,0.0351523880295923,26866,0.055563452046775
"TCAT_HLA","HLA","NKG2DL_sum",0.154040089576408,2.58467525094088e-142,26866,9.04636337829307e-141
"TCAT_ISG","ISG","MICA",-0.0124631482821068,0.041072204873479,26866,0.0640935681146647
"TCAT_ISG","ISG","MICB",-0.00939944885462277,0.12341124266886,26866,0.171794059396992
"TCAT_ISG","ISG","ULBP1",-0.0154293952319656,0.0114374320161334,26866,0.0197335974926246
"TCAT_ISG","ISG","ULBP2",0.0102561057688627,0.0927572786069216,26866,0.136900802763228
"TCAT_ISG","ISG","ULBP3",-0.0400797909321854,4.97260911425778e-11,26866,1.38441958294677e-10
"TCAT_ISG","ISG","RAET1E",-0.00545996716909917,0.370840483129706,26866,0.45427959183389
"TCAT_ISG","ISG","NKG2DL_sum",-0.00612758878088569,0.315221192326941,26866,0.396047139077439
"TCAT_gdT","gdT","MICA",0.0155466505904917,0.0108260579003574,26866,0.0190819006157378
"TCAT_gdT","gdT","MICB",0.0584860753855346,8.46262243300067e-22,26866,3.51413982387316e-21
"TCAT_gdT","gdT","ULBP1",-0.00903396341200824,0.138685252377779,26866,0.188068677352398
"TCAT_gdT","gdT","ULBP2",-0.00509376704011491,0.403786211409605,26866,0.487328186184006
"TCAT_gdT","gdT","ULBP3",0.0563481196495376,2.40016758219133e-20,26866,9.33398504185516e-20
"TCAT_gdT","gdT","RAET1E",-0.00240386452391495,0.693583924982061,26866,0.768905256201833
"TCAT_gdT","gdT","NKG2DL_sum",0.067867495809221,8.34392520655931e-29,26866,4.44404712088485e-28
"TCAT_CellCycle-S","CellCycle-S","MICA",0.058375477339182,1.00916816500276e-21,26866,4.12077000709462e-21
"TCAT_CellCycle-S","CellCycle-S","MICB",0.166111608357422,1.74320322638984e-165,26866,1.06771197616378e-163
"TCAT_CellCycle-S","CellCycle-S","ULBP1",0.018759520974563,0.00210521858868136,26866,0.00387803424230777
"TCAT_CellCycle-S","CellCycle-S","ULBP2",0.0257302299714597,2.46581891776041e-05,26866,5.49205122592091e-05
"TCAT_CellCycle-S","CellCycle-S","ULBP3",0.0591323360102921,3.00523569594567e-22,26866,1.26945300949429e-21
"TCAT_CellCycle-S","CellCycle-S","RAET1E",0.00892912093620525,0.143325146980717,26866,0.192581684522035
"TCAT_CellCycle-S","CellCycle-S","NKG2DL_sum",0.14717326604163,5.99934267059125e-130,26866,1.46983895429486e-128
"TCAT_Cytotoxic","Cytotoxic","MICA",0.026245658118233,1.68936842394007e-05,26866,3.82185492772117e-05
"TCAT_Cytotoxic","Cytotoxic","MICB",0.0683287019834939,3.55093170685072e-29,26866,1.9332850403965e-28
"TCAT_Cytotoxic","Cytotoxic","ULBP1",-0.00703706400716276,0.248748171449154,26866,0.319074879607554
"TCAT_Cytotoxic","Cytotoxic","ULBP2",-0.000111579241422729,0.985409151184983,26866,0.989447713280004
"TCAT_Cytotoxic","Cytotoxic","ULBP3",0.0352481068295416,7.51497019075977e-09,26866,1.93807125972226e-08
"TCAT_Cytotoxic","Cytotoxic","RAET1E",-0.0045175186889232,0.459039674599739,26866,0.540695770562193
"TCAT_Cytotoxic","Cytotoxic","NKG2DL_sum",0.0785942028022384,4.40739493577678e-38,26866,3.27215684625852e-37
