"DotPlot_Group";"gene";"avg_exp";"pct_exp";"avg_exp_scaled";"gene_group"
"CD223-FCER1G";"GNLY";"0,315419519229938827";"25,414364640883981";"-0,44575009791553388";"Cytotoxicity"
"CD223-FCER1G";"GZMA";"2,635336169712015675";"93,922651933701658";"0,93950215745477728";"Cytotoxicity"
"CD223-FCER1G";"GZMB";"2,334428243739191888";"91,712707182320443";"0,89065839114838852";"Cytotoxicity"
"CD223-FCER1G";"GZMH";"0,238818721580332433";"17,127071823204421";"0,29817191148788141";"Cytotoxicity"
"CD223-FCER1G";"GZMK";"0,074192196442653568";"8,287292817679557";"-0,38751048626463880";"Cytotoxicity"
"CD223-FCER1G";"KLRD1";"0,166048860179950325";"19,337016574585636";"-0,57980671830110686";"Cytotoxicity"
"CD223-FCER1G";"KLRG1";"0,030247357434922503";"5,524861878453039";"-0,70413892421070212";"Cytotoxicity"
"CD223-FCER1G";"KLRK1";"0,020489549784515042";"1,657458563535912";"-0,38690478000853357";"Cytotoxicity"
"CD223-FCER1G";"NKG7";"1,878923697455822106";"85,082872928176798";"0,15771545757554734";"Cytotoxicity"
"CD223-FCER1G";"PRF1";"0,785574098129377618";"73,480662983425418";"0,81665148064005821";"Cytotoxicity"
"CD30-CD79B";"GNLY";"0,619983311309210028";"38,871473354231973";"0,04797079589739461";"Cytotoxicity"
"CD30-CD79B";"GZMA";"2,272808331742661725";"91,536050156739819";"0,44586123708794834";"Cytotoxicity"
"CD30-CD79B";"GZMB";"2,044369826232606435";"88,401253918495286";"0,52724611674901445";"Cytotoxicity"
"CD30-CD79B";"GZMH";"0,060459205915538751";"6,896551724137931";"-0,49060909237983380";"Cytotoxicity"
"CD30-CD79B";"GZMK";"0,195124236951908198";"15,047021943573668";"-0,03741172732408430";"Cytotoxicity"
"CD30-CD79B";"KLRD1";"0,439455727672818930";"47,648902821316611";"0,08089402306758674";"Cytotoxicity"
"CD30-CD79B";"KLRG1";"0,093417371712240321";"12,852664576802509";"0,18283709153177724";"Cytotoxicity"
"CD30-CD79B";"KLRK1";"0,068249334368238462";"10,031347962382444";"-0,10295491022972900";"Cytotoxicity"
"CD30-CD79B";"NKG7";"1,975501422629122095";"92,163009404388717";"0,28098106038064047";"Cytotoxicity"
"CD30-CD79B";"PRF1";"0,645831002668482812";"74,294670846394979";"0,24406823797030208";"Cytotoxicity"
"CD357-CD79B";"GNLY";"1,647877585735723294";"66,363636363636374";"1,71426499472638949";"Cytotoxicity"
"CD357-CD79B";"GZMA";"3,025685555399737936";"98,181818181818187";"1,47102666353092215";"Cytotoxicity"
"CD357-CD79B";"GZMB";"2,272588915477245397";"97,272727272727280";"0,81318030544348652";"Cytotoxicity"
"CD357-CD79B";"GZMH";"0,881867462971376970";"68,181818181818173";"3,14200466063914963";"Cytotoxicity"
"CD357-CD79B";"GZMK";"1,314980738351630318";"82,727272727272734";"3,20457748976475409";"Cytotoxicity"
"CD357-CD79B";"KLRD1";"0,935980532550502509";"80,000000000000000";"1,28076990657730971";"Cytotoxicity"
"CD357-CD79B";"KLRG1";"0,235322697058748920";"39,090909090909093";"2,17534289556609517";"Cytotoxicity"
"CD357-CD79B";"KLRK1";"0,008591884305355655";"1,818181818181818";"-0,45764087299816630";"Cytotoxicity"
"CD357-CD79B";"NKG7";"2,934892267007640942";"93,636363636363640";"1,50548588844320608";"Cytotoxicity"
"CD357-CD79B";"PRF1";"0,761901331918805935";"80,000000000000000";"0,71965470813328880";"Cytotoxicity"
"CD4-FCGR2A";"GNLY";"1,735632963073699964";"72,142857142857139";"1,85652308469960459";"Cytotoxicity"
"CD4-FCGR2A";"GZMA";"2,756053549266411107";"98,571428571428584";"1,10387860556782136";"Cytotoxicity"
"CD4-FCGR2A";"GZMB";"2,884526385946676097";"95,714285714285722";"1,57987271811393293";"Cytotoxicity"
"CD4-FCGR2A";"GZMH";"0,152154979774081295";"17,857142857142858";"-0,08509170641372600";"Cytotoxicity"
"CD4-FCGR2A";"GZMK";"0,065463868779938428";"9,285714285714286";"-0,41277903105620073";"Cytotoxicity"
"CD4-FCGR2A";"KLRD1";"1,202764232968213109";"90,000000000000000";"1,92546544867323899";"Cytotoxicity"
"CD4-FCGR2A";"KLRG1";"0,039654312704401395";"7,142857142857142";"-0,57205499482355837";"Cytotoxicity"
"CD4-FCGR2A";"KLRK1";"0,000000000000000000";"0,000000000000000";"-0,50872285443766663";"Cytotoxicity"
