"CAR_Variant","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0.665198237885463,0,0,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0.0352422907488987,0,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0.0837004405286344,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0,0.039647577092511,0,0.039647577092511,0,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0,0,0.00440528634361234,0,0,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0,0,0,0,0.0176211453744493,0,0,0,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0,0,0,0,0,0,0,0.092511013215859,0.24
"4-1BB-CD79A",227,-0.107141811883776,-0.0302577528452078,0.0313531597091662,0.918965511336502,0.92613614272934,0.288483032989694,0,0,0,0,0,0,0,0.0220264317180617,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0.260115606936416,0,0,0,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0.30635838150289,0,0,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0.196531791907514,0,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0,0.092485549132948,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0,0,0.0115606936416185,0,0,0.0115606936416185,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0,0,0,0.0173410404624277,0,0,0,0.0173410404624277,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0,0,0,0,0.0809248554913295,0,0,0,0.24
"4-1BB-FCER1G",173,-0.216583668625456,-0.105547928539706,0.0244056960702804,-0.316348998384829,0.0609807674781103,-0.665164003172205,0,0,0,0,0,0,0,0,0.00578034682080925,0,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0.188976377952756,0,0,0,0,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0,0.102362204724409,0,0,0,0,0,0,0,0.102362204724409,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0,0,0.259842519685039,0,0,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0,0,0,0.149606299212598,0,0.149606299212598,0,0,0,0,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0,0,0,0,0.031496062992126,0,0,0,0,0,0.24
"CD223-CD79B",127,-0.361940364991369,-0.270044566733671,0.014246802588575,-1.95704883162866,-1.82924128913831,-2.05962954672508,0,0,0,0,0,0,0.015748031496063,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0.0883977900552486,0,0,0,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0.0718232044198895,0,0,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0.12707182320442,0,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0.464088397790055,0,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0,0.0497237569060773,0,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0,0,0.0662983425414365,0,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0,0,0,0.0386740331491713,0,0,0,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0,0,0,0,0,0,0.0773480662983425,0.24
"CD223-FCER1G",181,-0.312012392878282,-0.203842237782011,0.0257871171049968,-1.39349161295102,-1.06851387392968,-0.475542560884194,0,0,0,0,0,0,0,0.0165745856353591,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0.0846394984326019,0,0,0,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0.0250783699059561,0,0,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0.128526645768025,0,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0,0.457680250783699,0,0,0,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0,0,0.0501567398119122,0,0.0501567398119122,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0,0,0,0.109717868338558,0,0,0,0,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0,0,0,0,0,0,0,0.0783699059561129,0.24
"CD30-CD79B",319,-0.200416826191373,-0.140403645767991,0.0256198273327589,-0.133867307834388,-0.339544411804891,-0.498505674297548,0,0,0,0,0,0,0,0.0156739811912226,0,0,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0.0454545454545455,0,0.0454545454545455,0,0,0,0,0,0,0,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0.0363636363636364,0,0,0,0.0363636363636364,0,0,0,0,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0,0,0.154545454545455,0,0,0,0,0,0,0.24
"CD357-CD79B",110,-0.12517396334861,0.000453575985804793,0.0405020874969651,0.715429323179717,1.27903837697396,1.54431513552271,0,0,0,0,0.363636363636364,0,0,0,0,0,0.24
