SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
ACP4,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1
ACRBP,6,14.001000000000001,2,10,1,0,0,6,4,0,10,1,0,1,0,3,5
ACRP1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS3,0,0,0,2,0,0,0,0,0,1,2,1.03,0,1,2,1,4.028
ACTBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBP1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
ACTBP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBP14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ACTG1P12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ACTG1P14,0,0,2,2,0,0,0,2,2,1,0,3,0,5,0,1,0
ACTG1P15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ACTG1P16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACTG1P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACTG1P24,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ACTL10,182,328,159,105,117,96,70,95,169,114,93,170,52,362,48,81,483
ACTL11P,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACTL8,0,0,0,0,0,0,1,0,2,5,1,2,2,5,4,0,10
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN3,2,33,5,8,30,3,3,0,0,0,14,1,0,4,0,6,3
ACTN4P1,0,0,1,0,0,0,0,0,0,1.001,0,2.002,0,0,0,0,3.002
ACTP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR1AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR1B,816,3963.3340000000003,1340,1417,1371,979,1305.034,1723.102,2431,2062,1532,3109.6960000000004,568,4155.8820000000005,825,1457.122,4938.0070000000005
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,6,13,6,9,10,4,7,13,28,28,40,29,14,40,10,28,60
ACY1,381.1980000000001,1291.993,444.55800000000005,344.95099999999996,796.9319999999999,465.741,823.4259999999999,686.181,1248.071,1234.2179999999998,366.631,1145.296,390.40100000000007,1986.8770000000002,393.89700000000005,332.946,2584.152
ACY3,0,21,1,18,9,1,5,5,15,8,12,9,0,22,2,12,26
ACYP1,128.999,174.99899999999997,79,129.84300000000002,83,69,240.974,140.824,431,445.973,180.001,402.001,167.00099999999998,750.75,188,139,914.95
ADAD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM1B,1,14,1,0,8,2,0,3,2,1,0,3,1,3,1,0,5
ADAM20,0,1,0,3,2,0,3,2,0,0,0,1,0,0,0,0,1
ADAM20P3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADAM21,1,1,0,3,0,5,0,0,2,3,0,0,1,1,0,0,2
ADAM24P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS15,0,3.191,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ADAMTS5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS7P1,0,2.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS7P3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADAMTS7P4,0,1.365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAT3,162,326,111.642,117,117.47,57,128,126,168,143,177,251.802,71,424,76.874,128,448.011
ADGRA3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRF5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH5P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH5P5,0,0,0,0,1,0,0,0,0,0,0,0,0,1.435,0,0,0
ADI1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM2,18,95,32,56,25,12,22,42,53,50,178,67,13,143,26,149.97,136.284
ADM5,2,6,8,6,1,1,1,7,16,5,19,53,9,102,2,9,39
ADNP2,390,1907.0000000000002,478,623,514.001,349,444,736,1381,851,832,1452.0189999999998,264,1765,342.001,846.138,2526.1249999999995
ADO,428,1968.934,349,700,462.873,235,826.003,2096.496,3391.598,2850.716,1629.847,4704.781,525.053,4252.962,716,1324,6505.34
ADORA2B,24,11,7,10,2,4,38,28,87,117,8,96,27,70,29,13,132
ADORA3,1,6,0,2,1,2,3,5,4,4,2,1,1,12,0,5,16
ADRA1B,0,3,1,0,0,0,3,0,0,28,11,14,5,14,9,8,15
ADRA1D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2A,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ADRA2B,0,2,3,5,0,0,0,0,2,0,5,14,0,0,0,3,3
ADRA2C,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ADRB1,0,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,1
ADRB2,120,276,154,70,138,116,1,29,14,14,16,23,4,47,2,8,42
ADRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG2A,81,266.999,46,195,47,37,177,106,370,272,250,450.00000000000006,137,645,144.999,269.001,865.0010000000001
