gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7SK,25.939539337617656,7.622307049241984,2.0659525300036745,3.689487990911595,2.2470583455234968e-4,0.003962074446118982
A1BG,300.25924117752186,-1.7473784353148598,0.4674192869831817,-3.7383533028617464,1.8522952380344178e-4,0.0034840068394082968
A1BG-AS1,14.716799572056681,-1.614045306748003,1.0365469591181407,-1.5571366955928156,0.11943803431570499,0.2880680398217972
A4GALT,19.610643429423202,-1.1781274493789937,1.4734141236569003,-0.7995901698396729,0.42394828476087726,0.6320321723615049
AAAS,1030.5396641280327,1.3342830225468292,0.2563535056689211,5.2048557676837355,1.9414733885431005e-7,2.1808312615501975e-5
AACS,561.7084906479414,0.05300058994046815,0.2668440856992631,0.19862006610182295,0.8425599558570867,0.9208693246011714
AAGAB,963.6031040615253,0.29500721139139585,0.2014019145085625,1.4647686548126322,0.14298404651859745,0.32385120406489437
AAK1,862.1769386821057,-0.45780498085686383,0.3778022889810545,-1.2117580920210391,0.22560499466404807,0.43177564986162326
AAMDC,72.6882048080719,-2.4029612885766776,0.7229780237675311,-3.3236989363169553,8.883203906728565e-4,0.01041539447837817
AAMP,2140.092085389928,0.22205381880307773,0.31571039695755265,0.7033465509624408,0.48183980696788786,0.6803308579009637
AANAT,0.5184870890565976,-1.0591798107269546,4.094661529633745,-0.2586733489597356,0.7958872842914275,NA
AAR2,1060.4332869833756,-0.033699142414973765,0.1869316519559262,-0.1802752078760807,0.8569365180407247,0.9294545686054105
AARD,5.166720348539753,-0.48990768081955344,1.6893846442607856,-0.2899917922681957,0.7718225167637327,0.8795299349064392
AARS1,2951.702939379445,1.0815201901157268,0.3391157381855619,3.1892362056164023,0.0014264926655042079,0.014223309550586028
AARS2,364.06323991022487,1.3129350413552028,0.5060111610780083,2.5946760513308056,0.009468011057698237,0.05228073620481498
AARSD1,573.4225444773213,0.8949899937133828,0.4559533252998672,1.9628982706174454,0.04965799577429408,0.16041038210073047
AARSD1P1,1.3339663825459198,-1.2716403517473747,3.021563312747667,-0.42085510715014773,0.673860888487988,NA
AASDH,111.62601340458649,0.10878444511855276,0.3186699126352223,0.3413703045228403,0.7328248274542156,0.8563484070563848
AASDHPPT,821.7902145467656,0.7464414412073406,0.3365570575486573,2.2178748728198183,0.02656336520429328,0.10497588020029014
AASS,4.051120350498597,0.9562590216681668,2.9418299059936093,0.32505585034672096,0.7451388023194394,0.8646366092362316
AATBC,1.0478000762140915,0.07741217725024721,2.770241704822235,0.027944196030076987,0.977706658858254,NA
AATF,1722.4581049372573,0.4253177760429401,0.24598306186665905,1.7290531015240946,0.0837995916956559,0.2285740943126712
AATK,4.4489937412702325,-1.1423714508441332,1.975959453236959,-0.578135066978593,0.5631729335036323,0.74173883493513
ABALON,8.823488671673717,5.245643075118426,1.7735863767043896,2.9576473658225093,0.0030999653225728375,0.024195696295669332
ABAT,164.30015006189052,-0.17233292901508257,0.4276831964303452,-0.40294528860020257,0.6869884735760928,0.8279633741786299
ABCA1,6.005178247030884,-0.5976897256548878,1.4532503938100638,-0.41127786938897215,0.6808687952028893,0.8241010592359496
ABCA11P,2.303052907725167,0.3612706103922123,2.389772581781451,0.15117363599631892,0.8798387466868042,NA
ABCA17P,1.2306546735823827,-0.5462132022794219,2.3950846427633086,-0.2280559077232582,0.819602777400036,NA
ABCA2,261.7113940792164,-1.3368310982831664,0.7957628605408551,-1.6799365295517363,0.0929696654843347,0.24463367911646725
ABCA3,155.22998724550456,0.5238324828282006,0.3991715080343751,1.3122992805966756,0.18941917480534778,0.3864651600277279
ABCA5,12.890111453658333,-0.8909756477022743,1.4615275294917216,-0.6096194766937649,0.5421139066276742,0.7248120971908577
ABCA7,261.0591042203594,-1.67334995014169,0.8030076637816582,-2.08385302608604,0.037173538274297584,0.13257095043908595
ABCB1,181.51675201378757,-2.381965610494149,0.5549016367742953,-4.292590709122393,1.766003653915213e-5,6.770242647455863e-4
ABCB10,730.4914556136572,0.21387766967105304,0.3406288114325395,0.6278907200232852,0.5300755306135917,0.7161146550249052
ABCB6,206.2828608213658,1.5021373862539655,0.4984972512188376,3.013331332482183,0.002583966325016949,0.021318053969567156
ABCB7,406.1792424878114,-0.5568372249441077,0.3570590069495785,-1.559510372532741,0.11887563149970516,0.28700667753415565
ABCB8,544.2283640639604,0.5181542852006896,0.222591716069718,2.3278237588967525,0.019921463943272516,0.08590563095860038
