gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7SK,25.939539337617656,7.273532781968497,2.0688157291977043,3.515795379605512,4.3843874981988834e-4,0.639092373724188
A1BG,300.25924117752186,0.03431498725146124,0.4635681153812293,0.07402361403402663,0.9409915955222918,1
A1BG-AS1,14.716799572056681,-0.8530504597642271,1.0261687063343368,-0.8312965056315936,0.4058061481505479,1
A4GALT,19.610643429423202,0.5506313916327452,1.4595304597470404,0.37726611867228743,0.7059758484445123,1
AAAS,1030.5396641280327,0.3464919990011438,0.2578823650753198,1.343604859913332,0.1790761971243677,1
AACS,561.7084906479414,0.2154120501290798,0.2669884736853733,0.8068215348611917,0.41976931030251463,1
AAGAB,963.6031040615253,0.3422946146843101,0.20169015117025882,1.6971310334105436,0.0896718902333006,1
AAK1,862.1769386821057,-0.5151434068006587,0.3780813641743163,-1.3625199642560253,0.17303384802058464,1
AAMDC,72.6882048080719,0.17841776922381514,0.7057609121269396,0.252801998747877,0.8004212230845558,1
AAMP,2140.092085389928,-0.24934112613435377,0.3160783773596106,-0.7888585363454708,0.43019469224133833,1
AANAT,0.5184870890565976,-2.315386280061372,4.138522540983388,-0.5594717093195279,0.5758398336124231,1
AAR2,1060.4332869833756,-0.133926972286904,0.18747284481600082,-0.71438064759912,0.4749918353435424,1
AARD,5.166720348539753,0.2850862501657146,1.6733763627906928,0.1703658880960143,0.8647223972921111,1
AARS1,2951.702939379445,0.35871685621754645,0.339421457495976,1.0568479048552761,0.29058100714082896,1
AARS2,364.06323991022487,-0.23133751906032574,0.5098868489883744,-0.45370363938451036,0.6500421471207231,1
AARSD1,573.4225444773213,-0.037297662921986524,0.4576372930728691,-0.08150048845789247,0.9350439364393518,1
AARSD1P1,1.3339663825459198,0.018187264784066917,2.960047090717291,0.006144248461824202,0.9950976298601337,1
AASDH,111.62601340458649,0.4343104704193187,0.31835634211858505,1.3642274802163097,0.172495981870788,1
AASDHPPT,821.7902145467656,0.7720936159862694,0.33675097871927046,2.292773190809101,0.021861066247932718,1
AASS,4.051120350498597,-3.3844987074583077,3.1432511005228143,-1.0767509814584546,0.28159152967454426,1
AATBC,1.0478000762140915,-2.1448053448414512,2.897345314076786,-0.7402656957805096,0.4591387916743256,1
AATF,1722.4581049372573,-0.1808555171050674,0.24661544409053013,-0.7333503291816432,0.4633447858462222,1
AATK,4.4489937412702325,-0.06676255865037112,1.9546808135724256,-0.034155222779495197,0.9727533727347295,1
ABALON,8.823488671673717,-0.9493467862883674,2.1186030987257087,-0.4481003482244399,0.6540807767484866,1
ABAT,164.30015006189052,-0.28946459736517777,0.42949536516948805,-0.6739644262539337,0.5003339304249698,1
ABCA1,6.005178247030884,1.444276065939424,1.3999763202289544,1.0316432107246105,0.3022392899803459,1
