File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF812SPD	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF813HWY	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF813LOW	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF813ONM	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF813SPN	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF813YNJ	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF814PWW	MYC	A549	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF814QPF	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF815HQB	SPI1	HL-60	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF816NKN	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF817MVX	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF819CJW	E2F1	HepG2	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF819GCB	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF819JEC	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF820PHL	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF821FYB	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF822VHF	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF824TMR	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF824WTS	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF825QLF	TCF3	HepG2	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF826PIB	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF826RWZ	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF826WTJ	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF827GWN	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF827UFT	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF827UJF	SRF	Ishikawa	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF828JWK	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF828MWO	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF830NUK	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF831GEW	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF832VNX	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF834NUV	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF835UPN	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF835XYK	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF836BXB	MYC	NB4	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF836OIF	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF836PBB	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF836QWS	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF837BDB	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF838NIW	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF838RSB	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF839QBV	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF841QLZ	MYC	NB4	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF841ZKW	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF842BMF	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF842GBC	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF842NJN	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF843CYJ	SRF	HepG2	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF843PIU	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF843QZG	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF844RNW	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF847AGG	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF847AGH	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF848QJR	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF848QSZ	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF848WYC	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF849LHH	TCF12	MCF-7	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF849LSO	TP53	HepG2	TF ChIP-seq	TP53-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF850DUU	TCF3	HepG2	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF850FVG	RXRB	HepG2	TF ChIP-seq	RXRB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF850KGU	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF850VMA	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF851IVC	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF851MKW	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF851OFV	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF852AAQ	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF852CYZ	CREB1	Ishikawa	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF852HEY	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF852ZRK	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF853SKH	TP53	A549	TF ChIP-seq	TP53-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF853ZAI	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF855DWX	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF855QKY	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF855UMP	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF855UQN	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF855VXM	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF856CEE	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF856TDE	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF856UYG	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF857MEZ	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF858ASA	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF858KWK	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF858NWA	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF858QIP	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF858ZYN	MYC	NB4	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF859MQB	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF862DXR	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF863XNQ	FOXO1	HepG2	TF ChIP-seq	FOXO1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF866CXB	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF866GSX	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF866KYP	SRF	HepG2	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF866QPM	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF867EKJ	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF867MDW	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF869JTA	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF869OOK	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF870CER	SREBF1	MCF-7	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF870JMX	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF871JEQ	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF872KVF	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF872NFM	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF872RSG	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF874EVS	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF874PIO	CEBPA	HepG2	TF ChIP-seq	CEBPA-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF874WVN	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF876WDK	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF877BZG	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF877EIF	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF877KDO	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF877NAR	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF877WEN	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF878NMO	MYC	A549	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF880DHN	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF881INQ	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF881PUT	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF882ARK	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF882BRZ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF882EZR	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF882FIA	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF883AYB	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF883BPQ	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF883EPG	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF883LRJ	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF883YQO	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF884VNW	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF885CLY	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF885VKD	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF886PVT	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF886XES	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF887NAS	TP53	HepG2	TF ChIP-seq	TP53-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF888CKG	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF888VAS	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF890YEO	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF891KEP	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF891QTR	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF893DND	CEBPB	HeLa-S3	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF894JDZ	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF894ORR	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF894RIX	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF894YJQ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF896LKV	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF896WVS	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF897YHB	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF899MNG	GATA4	HepG2	TF ChIP-seq	GATA4-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF900PFE	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF901GEZ	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF901OIG	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF901ZBM	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF902EKZ	TCF3	HepG2	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF902QAK	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF904MXP	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF904OAW	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF904RTN	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF904XHT	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF905KLI	RXRA	SK-N-SH	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF905MGY	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF905VLK	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF907PFI	RXRB	HepG2	TF ChIP-seq	RXRB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF907SPZ	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF907XCP	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF907ZDN	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF908PSM	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF908TRE	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF910UCA	RXRB	HepG2	TF ChIP-seq	RXRB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF912HBY	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF912ITB	SP1	HCT116	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF912LXU	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF913CGA	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF915BRB	TCF12	MCF-7	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF915JCV	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF915ZUX	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF915ZYE	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF916KLD	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF916UXX	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF917WLJ	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF918YGU	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF919WJA	SPI1	HL-60	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF921JVX	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF921RVE	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF921XMX	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF921ZHS	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF922EWR	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF926IPE	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF927HFR	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF929IAB	SPI1	HL-60	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF930GII	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF932QXK	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF932UJX	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF933KNI	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF934CJB	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF934ENB	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF935ICC	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF935TYN	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF936EFC	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF937GTF	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF937KBH	FOXO1	HepG2	TF ChIP-seq	FOXO1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF938CNW	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF939KFI	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF939WBO	RARA	HepG2	TF ChIP-seq	RARA-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF939ZCA	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF940BIM	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF943CZT	SRF	MCF-7	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF944KBB	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF944MHD	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF944QJD	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF944WFX	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF945FRP	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF946EWH	TCF12	MCF-7	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF946JCH	SP1	HCT116	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF947KSU	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF948BKC	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF948EFF	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF949EAE	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF949ZLO	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF950ICB	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF950LQM	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF951BHY	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF951BWR	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF951GQB	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF952JIK	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF955JHD	CEBPB	HeLa-S3	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF955MFB	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF959COX	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF959JRF	SRF	HCT116	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF959MVO	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
