"CAR_group","n_cells","S_mean","G2M_mean","NKG2DL_mean","S_z","G2M_z","NKG2DL_z","CD4-CM","CD4-EM","CD4-Naive","CD8-CM","CD8-EM","CD8-Naive","CD8-TEMRA","gdT","MAIT","Treg","radius_fixed"
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0.665198237885463,0,0,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0.0352422907488987,0,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0.0837004405286344,0,0,0,0,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0,0.039647577092511,0,0.039647577092511,0,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0,0,0.00440528634361234,0,0,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0,0,0,0,0.0176211453744493,0,0,0,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0,0,0,0,0,0,0,0.092511013215859,0.24
"4-1BB-CD79A",227,0.0553538386494629,0.0439880900456974,0.0313531597091662,0.950784513650328,1.02168642842674,0.298841288614378,0,0,0,0,0,0,0,0.0220264317180617,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0.260115606936416,0,0,0,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0.30635838150289,0,0,0,0,0,0,0,0,0.24
"4-1BB-FCER1G",173,-0.0578631194925581,-0.0372473135654879,0.0244056960702804,-0.14111336202859,0.1815832837173,-0.697171451450083,0,0,0.196531791907514,0,0,0,0,0,0,0,0.24
