DotPlot_Group,gene,avg_exp,pct_exp,avg_exp_scaled,gene_group
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,GNLY,0.2743006065307327,13.093622795115332,-0.5124069588374122,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,GZMA,1.9130114736168262,73.81275440976933,-0.0440610077393441,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,GZMB,0.6660833533282564,42.978290366350066,-1.199599896539633,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,GZMH,0.16407699601877052,18.99592944369064,-0.032367522304106354,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,GZMK,0.3481807771713446,24.796472184531886,0.40568759154053896,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,KLRD1,0.25347118713955047,23.643147896879242,-0.36854649369869913,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,KLRG1,0.11403356328736453,15.705563093622796,0.4723109451043137,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,KLRK1,0.4919170165150486,50.03392130257802,2.4159086948643607,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,NKG7,2.3380630296662828,80.69877883310718,0.7437313991903844,Cytotoxicity
<span style='color:#4A90C2;'>Unstim CD28-CD3Z</span>,PRF1,0.7185587692621271,61.092265943012215,0.5420629280905819,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,GNLY,0.26771194376364776,23.62204724409449,-0.5230876784600207,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,GZMA,2.2405531730395385,88.18897637795276,0.40194056518044674,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,GZMB,1.4515750962909855,69.29133858267717,-0.21546248282181563,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,GZMH,0.1662145300177278,12.598425196850393,-0.022914445426124568,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,GZMK,0.1084691266334557,11.811023622047244,-0.28827863117017777,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,KLRD1,0.08056835820305508,9.448818897637794,-0.7863744301753373,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,KLRG1,0.01382783133486636,3.149606299212598,-0.9346870095201713,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,KLRK1,0,0,-0.5087228544376666,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,NKG7,1.097785209406564,66.14173228346458,-0.8392795164815824,Cytotoxicity
<span style='color:#E64B35;'>CD223-CD79B</span>,PRF1,0.546404497957262,58.26771653543307,-0.16332183942212034,Cytotoxicity
4-1BB-CD79A,GNLY,0.15789252107843466,21.145374449339208,-0.7011132512177006,Cytotoxicity
4-1BB-CD79A,GZMA,0.9048579560577223,66.07929515418502,-1.4168268429550164,Cytotoxicity
4-1BB-CD79A,GZMB,0.7043473941664223,57.70925110132159,-1.1516591326471572,Cytotoxicity
4-1BB-CD79A,GZMH,0.04942028645380808,7.929515418502203,-0.5394278500569017,Cytotoxicity
4-1BB-CD79A,GZMK,0.03738214880423257,6.607929515418502,-0.49407572687816886,Cytotoxicity
4-1BB-CD79A,KLRD1,0.09078203242232301,13.215859030837004,-0.7616925990616961,Cytotoxicity
4-1BB-CD79A,KLRG1,0.025845471553535962,6.607929515418502,-0.7659462111884293,Cytotoxicity
4-1BB-CD79A,KLRK1,0,0,-0.5087228544376666,Cytotoxicity
4-1BB-CD79A,NKG7,0.708250870515002,70.92511013215858,-1.3364561170961766,Cytotoxicity
4-1BB-CD79A,PRF1,0.22754737842863856,31.718061674008812,-1.4698067347644275,Cytotoxicity
4-1BB-FCER1G,GNLY,0.8317377455095021,41.61849710982659,0.391240715832617,Cytotoxicity
4-1BB-FCER1G,GZMA,1.3888827762502498,70.52023121387283,-0.757747917985877,Cytotoxicity
4-1BB-FCER1G,GZMB,1.1477042523208856,70.52023121387283,-0.5961802550558316,Cytotoxicity
4-1BB-FCER1G,GZMH,0.16381221855857478,12.138728323699421,-0.03353847990665586,Cytotoxicity
4-1BB-FCER1G,GZMK,0.09638921028449901,10.404624277456648,-0.3232500391119118,Cytotoxicity
4-1BB-FCER1G,KLRD1,0.13628005568833146,17.341040462427745,-0.6517444548240758,Cytotoxicity
4-1BB-FCER1G,KLRG1,0.09538776967121984,15.028901734104046,0.21050363159951163,Cytotoxicity
4-1BB-FCER1G,KLRK1,0.041532872289521065,5.202312138728324,-0.26179431862160724,Cytotoxicity
4-1BB-FCER1G,NKG7,0.8491610346863016,58.95953757225434,-1.1566074377369135,Cytotoxicity
4-1BB-FCER1G,PRF1,0.36712132335406594,46.24277456647399,-0.8979165693574718,Cytotoxicity
CD223-FCER1G,GNLY,0.3154195192299388,25.41436464088398,-0.4457500979155339,Cytotoxicity
CD223-FCER1G,GZMA,2.6353361697120157,93.92265193370166,0.9395021574547773,Cytotoxicity
CD223-FCER1G,GZMB,2.334428243739192,91.71270718232044,0.8906583911483885,Cytotoxicity
